split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5,train_fraction
139,type_aware,552,0.6273392291097997,0.5235507246376812,0.6847826086956522,0.7355072463768116,0.7
139,ablation_intrinsic_only,552,0.6797133690851441,0.572463768115942,0.7518115942028986,0.8170289855072463,0.7
139,ablation_full,552,0.6745307563016264,0.572463768115942,0.7409420289855072,0.802536231884058,0.7
149,type_aware,552,0.6196281692381156,0.519927536231884,0.6865942028985508,0.7373188405797102,0.7
149,ablation_intrinsic_only,552,0.6869397083391648,0.5960144927536232,0.75,0.7971014492753623,0.7
149,ablation_full,552,0.671222113571128,0.5742753623188406,0.7409420289855072,0.7844202898550725,0.7
101,type_aware,368,0.6089064262907864,0.5217391304347826,0.6521739130434783,0.7065217391304348,0.8
101,ablation_intrinsic_only,368,0.6601961918977584,0.5679347826086957,0.7146739130434783,0.7744565217391305,0.8
101,ablation_full,368,0.6517207416836981,0.5489130434782609,0.717391304347826,0.7717391304347826,0.8
103,type_aware,368,0.6253522018465113,0.532608695652174,0.6711956521739131,0.7336956521739131,0.8
103,ablation_intrinsic_only,368,0.6889682085625559,0.592391304347826,0.75,0.8152173913043478,0.8
103,ablation_full,368,0.686453735565746,0.5978260869565217,0.7391304347826086,0.8043478260869565,0.8
107,type_aware,368,0.5861918209154613,0.47554347826086957,0.657608695652174,0.7065217391304348,0.8
107,ablation_intrinsic_only,368,0.6497949881726499,0.5434782608695652,0.7092391304347826,0.7934782608695652,0.8
107,ablation_full,368,0.6441135777479615,0.5353260869565217,0.717391304347826,0.8016304347826086,0.8
109,type_aware,368,0.5968418087226699,0.4891304347826087,0.6630434782608695,0.7364130434782609,0.8
109,ablation_intrinsic_only,368,0.6657149953005931,0.5706521739130435,0.7364130434782609,0.779891304347826,0.8
109,ablation_full,368,0.6599390371317111,0.5597826086956522,0.7418478260869565,0.779891304347826,0.8
